Grupo;Família;Espécie (FB_2020);Nome popular;Origem;Endemismo;Especie;Categoria;Critério;Data avaliação;Reavaliação?;Histórico de Avaliações;Endêmica do Brasil?;Ameaças cadastradas;Ações de conservação
Angiospermas;Acanthaceae;Aphelandra bradeana Rizzini;;NATIVA;Endemica;Aphelandra bradeana;DD;;2018;Não se aplica;Inéditas não ameaçadas (NT, DD, LC);Sim;7.1.1 Increase in fire frequency/intensity;NA
Angiospermas;Acanthaceae;Aphelandra espirito-santensis Profice & Wassh.;;NATIVA;Endemica;Aphelandra espirito-santensis;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;;4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra gigantea (Rizzini) Profice;crista-de-galinha,PORTUGUES,sudeste/NA/crista-de-galinha,PORTUGUES,sudeste;NATIVA;Endemica;Aphelandra gigantea;LC;;2013;;;Sim;;4.4 Protected areas|1.2.1.1 International level|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra hirta (Klotzsch) Wassh.;;NATIVA;Endemica;Aphelandra hirta;LC;;2013;;;Sim;;4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra longiflora (Lindl.) Profice;canela-de-jacomi,PORTUGUES,centro-oeste/erva-de-gado,PORTUGUES,sudeste/canela-de-jacomi,PORTUGUES,centro-oeste;NATIVA;Não endemica;Aphelandra longiflora;LC;;2013;;;Não;;4.4 Protected areas|1.2.1.1 International level|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra margaritae E.Morren;;NATIVA;Endemica;Aphelandra margaritae;VU;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.1 Agriculture|1.1.2 Wood plantation|1.1.4 Livestock;1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Acanthaceae;Aphelandra maximiliana (Nees) Benth.;;NATIVA;desconhecido;Aphelandra maximiliana;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1 Habitat Loss/Degradation (human induced);4.4 Protected areas|1.2.1.1 International level|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra nitida Nees & Mart.;taipoca,PORTUGUES,nordeste/NA/taipoca,PORTUGUES,nordeste;NATIVA;Endemica;Aphelandra nitida;LC;;2013;;;Sim;1 Habitat Loss/Degradation (human induced);4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra prismatica (Vell.) Hiern;;NATIVA;;Aphelandra prismatica;LC;;2013;;;Sim;1 Habitat Loss/Degradation (human induced);4.4 Protected areas|1.2.2.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra rigida Glaz. ex Mildbr.;;NATIVA;Endemica;Aphelandra rigida;EN;B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv);2018;Não se aplica;Inéditas ameaçadas (CR, EN, VU);Sim;2.1.2 Small-holder farming|1.3 Tourism & recreation areas|1.1 Housing & urban areas|2 Agriculture & aquaculture|2.3 Livestock farming & ranching;2.1 Site/area management|1.1 Site/area protection
Angiospermas;Acanthaceae;Aphelandra schottiana (Nees) Profice;anil-bravo,PORTUGUES,sudeste/NA/anil-bravo,PORTUGUES,sudeste;NATIVA;;Aphelandra schottiana;LC;;2013;;;Sim;;4.4 Protected areas|1.2.2.1 International level|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra squarrosa Nees;;NATIVA;Endemica;Aphelandra squarrosa;LC;;2013;;;Sim;;4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Aphelandra stephanophysa Nees;;NATIVA;Endemica;Aphelandra stephanophysa;VU;D2;2018;Não se aplica;Inéditas ameaçadas (CR, EN, VU);Sim;2.1.2 Small-holder farming|2.3.2 Small-holder grazing, ranching or farming|1.3 Tourism & recreation areas|1.1 Housing & urban areas|7.1 Fire & fire suppression;1.1 Site/area protection
Angiospermas;Acanthaceae;Chamaeranthemum beyrichii Nees;;NATIVA;Endemica;Chamaeranthemum beyrichii;LC;;2013;;;Sim;;4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Dicliptera squarrosa Nees;;NATIVA;Não endemica;Dicliptera squarrosa;LC;;2013;;;Não;;4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Dyschoriste lavandulacea (Nees) Kuntze;;NATIVA;Não endemica;Dyschoriste lavandulacea;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Não;1 Habitat Loss/Degradation (human induced);1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Dyschoriste smithii Leonard;;NATIVA;Endemica;Dyschoriste smithii;CR;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1 Habitat Loss/Degradation (human induced);1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Herpetacanthus delicatus Indriunas & Kameyama;;NATIVA;Endemica;Herpetacanthus delicatus;DD;;2018;Não se aplica;Inéditas não ameaçadas (NT, DD, LC);Sim;4.1 Roads & railroads|9.5 Air-borne pollutants|8.4.2 Named species|7.1 Fire & fire suppression|1.3 Tourism & recreation areas;1.1 Site/area protection
Angiospermas;Acanthaceae;Herpetacanthus longiflorus Moric.;;NATIVA;Endemica;Herpetacanthus longiflorus;NT;;2013;;;Sim;;4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Acanthaceae;Herpetacanthus parvispica Indriunas & Kameyama;;NATIVA;Endemica;Herpetacanthus parvispica;DD;;2018;Não se aplica;Inéditas não ameaçadas (NT, DD, LC);Sim;2.2 Wood & pulp plantations|7.1 Fire & fire suppression|5.2 Gathering terrestrial plants|2.3.4 Scale Unknown/Unrecorded;1.1 Site/area protection
