"";"Família";"Especie";"Nome na publicação original";"Diferença (em caracteres)";"Categoria";"Status Taxonômico"
"1";"Salicaceae";"Abatia glabra";"Abatia glabra";0;"rara";"Accepted"
"2";"Salicaceae";"Abatia microphylla";"Abatia microphylla";0;"rara";"Accepted"
"3";"Cyperaceae";"Bulbostylis distichoides";"Abildgaardia disticha";0;"rara";"Synonym"
"4";"Cyperaceae";"Abildgaardia papillosa";"Abildgaardia papilosa";1;"rara";"Accepted"
"5";"Cyperaceae";"Bulbostylis capillaris";"Abildgaardia papilosa";6;"rara";"Synonym"
"6";"Fabaceae";"Senegalia ricoae";"Acacia ricoae";0;"rara";"Synonym"
"7";"Myrtaceae";"Accara elegans";"Accara elegans";0;"rara";"Accepted"
"8";"Plantaginaceae";"Matourea latifolia";"Achetaria latifolia";0;"rara";"Synonym"
"9";"Orchidaceae";"Acianthera adiri";"Acianthera adiri";0;"rara";"Accepted"
"10";"Orchidaceae";"Acianthera murexoidea";"Acianthera murexoidea";0;"rara";"Accepted"
"11";"Melastomataceae";"Aciotis wurdackiana";"Aciotis wurdackiana";0;"rara";"Accepted"
"12";"Malpighiaceae";"Acmanthera fernandesii";"Acmanthera fernandesii";0;"rara";"Accepted"
"13";"Malpighiaceae";"Acmanthera longifolia";"Acmanthera longifolia";0;"rara";"Accepted"
"14";"Malpighiaceae";"Acmanthera minima";"Acmanthera minima";0;"rara";"Accepted"
"15";"Malpighiaceae";"Acmanthera parviflora";"Acmanthera parviflora";0;"rara";"Accepted"
"16";"Eriocaulaceae";"Actinocephalus aggregatus";"Actinocephalus aggregatus";0;"rara";"Accepted"
"17";"Eriocaulaceae";"Actinocephalus cabralensis";"Actinocephalus cabralensis";0;"rara";"Accepted"
"18";"Eriocaulaceae";"Actinocephalus callophyllus";"Actinocephalus callophyllus";0;"rara";"Accepted"
"19";"Eriocaulaceae";"Actinocephalus ciliatus";"Actinocephalus ciliatus";0;"rara";"Accepted"
"20";"Eriocaulaceae";"Actinocephalus cipoensis";"Actinocephalus cipoensis";0;"rara";"Accepted"
"21";"Eriocaulaceae";"Actinocephalus claussenianus";"Actinocephalus claussenianus";0;"rara";"Accepted"
"22";"Eriocaulaceae";"Actinocephalus compactus";"Actinocephalus compactus";0;"rara";"Accepted"
"23";"Eriocaulaceae";"Actinocephalus coutoensis";"Actinocephalus coutoensis";0;"rara";"Accepted"
"24";"Eriocaulaceae";"Actinocephalus deflexus";"Actinocephalus deflexus";0;"rara";"Accepted"
"25";"Eriocaulaceae";"Actinocephalus diffusus";"Actinocephalus diffusus";0;"rara";"Accepted"
